Date,Price
28/11/2016,1191.87
29/11/2016,1185.88
30/11/2016,1173.76
1/12/2016,1167.89
2/12/2016,1175
5/12/2016,1163.88
6/12/2016,1171.23
7/12/2016,1176.94
8/12/2016,1170.52
9/12/2016,1162.9
12/12/2016,1159.52
13/12/2016,1159.75
14/12/2016,1163.43
15/12/2016,1126.52
16/12/2016,1131.56
19/12/2016,1139.66
20/12/2016,1127.47
21/12/2016,1131.86
22/12/2016,1132.5
23/12/2016,1133.5
26/12/2016,1133.5
27/12/2016,1136.73
28/12/2016,1139.03
29/12/2016,1146.59
30/12/2016,1157.49
2/1/2017,1157.49
3/1/2017,1156.11
4/1/2017,1164.57
5/1/2017,1183.56
6/1/2017,1174.35
9/1/2017,1179.84
10/1/2017,1188.08
11/1/2017,1179.73
12/1/2017,1203.63
13/1/2017,1194.8
16/1/2017,1202.46
17/1/2017,1215.3
18/1/2017,1215.48
19/1/2017,1201.54
20/1/2017,1202.07
23/1/2017,1216.39
24/1/2017,1213.23
25/1/2017,1197.34
26/1/2017,1187.13
27/1/2017,1188.74
30/1/2017,1196.19
31/1/2017,1211.49
1/2/2017,1202.92
2/2/2017,1217.06
3/2/2017,1217.97
6/2/2017,1228.9
7/2/2017,1234.01
8/2/2017,1241.19
9/2/2017,1234.82
10/2/2017,1231.31
13/2/2017,1223.19
14/2/2017,1226.18
15/2/2017,1227.39
16/2/2017,1242.19
17/2/2017,1237.68
20/2/2017,1237.74
21/2/2017,1234.68
22/2/2017,1233.57
23/2/2017,1249.23
24/2/2017,1255.34
27/2/2017,1262.24
28/2/2017,1256.64
1/3/2017,1245.18
2/3/2017,1241.78
3/3/2017,1224.99
6/3/2017,1227.48
7/3/2017,1218.9
8/3/2017,1208.09
9/3/2017,1202.59
10/3/2017,1200.3
13/3/2017,1205.47
14/3/2017,1205.6
15/3/2017,1200.04
16/3/2017,1229.15
17/3/2017,1229.38
20/3/2017,1234.16
21/3/2017,1243.28
22/3/2017,1249.08
23/3/2017,1243.82
24/3/2017,1248.59
27/3/2017,1255.84
28/3/2017,1255.28
29/3/2017,1252.41
30/3/2017,1249.81
31/3/2017,1247.25
3/4/2017,1253.4
4/4/2017,1256.81
5/4/2017,1248.05
6/4/2017,1252.07
7/4/2017,1265.7
10/4/2017,1251.91
11/4/2017,1272.17
12/4/2017,1275.38
13/4/2017,1285.59
14/4/2017,1285.59
17/4/2017,1290.87
18/4/2017,1287.53
19/4/2017,1280.8
20/4/2017,1282.53
21/4/2017,1285.89
24/4/2017,1273.57
25/4/2017,1268.07
26/4/2017,1264.28
27/4/2017,1265.22
28/4/2017,1267.86
1/5/2017,1263.15
2/5/2017,1254.62
3/5/2017,1249.04
4/5/2017,1229.69
5/5/2017,1227.71
8/5/2017,1228.74
9/5/2017,1217.79
10/5/2017,1221.19
11/5/2017,1224.45
12/5/2017,1229.69
15/5/2017,1234.2
16/5/2017,1237.44
17/5/2017,1257.9
18/5/2017,1253.8
19/5/2017,1253.47
22/5/2017,1260.24
23/5/2017,1260.28
24/5/2017,1253.26
25/5/2017,1256.49
26/5/2017,1267.52
29/5/2017,1267.45
30/5/2017,1262.54
31/5/2017,1267.97
1/6/2017,1263.99
